2, 28-02-2021 18:12:19, GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Memory usage        ,Core clock          ,Memory clock        ,Power               ,Fan speed           ,Fan speed 2         ,Fan tachometer      ,Fan tachometer 2    ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU9 temperature    ,CPU10 temperature   ,CPU11 temperature   ,CPU12 temperature   ,CPU13 temperature   ,CPU14 temperature   ,CPU15 temperature   ,CPU16 temperature   ,CPU17 temperature   ,CPU18 temperature   ,CPU19 temperature   ,CPU20 temperature   ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU9 usage          ,CPU10 usage         ,CPU11 usage         ,CPU12 usage         ,CPU13 usage         ,CPU14 usage         ,CPU15 usage         ,CPU16 usage         ,CPU17 usage         ,CPU18 usage         ,CPU19 usage         ,CPU20 usage         ,CPU usage           ,RAM usage           ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       ,Framerate 1% Low    ,Framerate 0.1% Low  
80, 28-02-2021 18:12:20,62,98,38,0,5,7414.469,1935,7000.983,83,71,71,1725,1731,0,0,1,0,50,50,50,50,49,49,48,48,51,51,51,51,51,51,51,51,48,48,50,49,51,41.25,26.25,36.25,32.5,31.25,28.75,26.25,25,22.5,30,11.25,78.75,66.25,15,51.25,13.75,40,20,27.5,43.75,33.375,14211,142,0,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:12:21,57,12,5,0,1,7393.719,1950,7000.983,27,71,71,1726,1735,0,0,1,0,61,61,52,52,49,49,50,50,47,47,48,48,58,58,51,51,48,48,59,59,61,32.814,13.864,51.764,15.587,27.646,13.864,25.923,19.033,20.755,32.814,15.587,56.932,48.319,20.755,51.764,5.251,32.814,20.755,46.596,24.201,28.852,14241,134.5,784.776,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:12:22,59,54,18,0,6,7393.625,1950,7000.983,91,71,71,1729,1737,0,0,1,0,49,49,52,52,47,47,60,60,59,59,52,52,49,49,50,51,46,46,52,52,59,22.153,12.886,36.981,3.618,12.886,11.032,9.179,20.3,18.446,5.472,36.981,59.223,31.421,3.618,46.249,20.3,22.153,11.032,18.446,7.325,20.485,14297,16.7,912.806,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:12:23,63,99,38,0,5,7393.625,1920,7000.983,103,71,71,1730,1738,0,1,0,0,54,54,54,54,52,52,61,60,52,52,59,59,52,52,57,57,50,50,56,56,60,41.56,41.56,40.022,29.257,33.871,18.492,29.257,46.174,30.795,27.719,30.795,58.477,61.553,20.03,44.636,29.257,41.56,26.181,33.871,33.871,35.947,14278,150,14.724,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:12:24,63,99,38,0,5,7393.625,1920,7000.983,100,71,71,1735,1738,0,1,0,0,53,53,48,48,50,50,49,49,60,60,60,60,57,57,51,51,47,47,49,49,61,50.775,30.132,34.896,30.132,34.896,30.132,47.599,26.956,30.132,38.072,11.077,73.006,58.714,23.78,46.011,26.956,38.072,23.78,30.132,39.66,36.246,14280,143.9,8.43,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:12:25,64,99,37,0,5,7393.625,1920,7000.983,100,71,71,1736,1739,0,1,0,0,54,54,49,49,51,50,51,51,62,62,59,59,52,52,53,53,49,49,54,54,62,43.75,31.25,39.063,21.875,23.438,34.375,34.375,40.625,45.313,39.063,26.563,67.188,64.063,26.563,46.875,21.875,46.875,31.25,46.875,34.375,38.281,14283,143.5,8.822,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:12:26,64,99,37,0,5,7393.625,1920,7000.983,97,71,71,1738,1740,0,1,0,0,51,51,56,56,51,51,56,56,53,53,56,56,56,56,54,54,62,62,54,54,60,47.652,33.376,36.548,30.203,30.203,23.858,50.825,25.444,34.962,42.893,25.444,66.688,55.584,17.513,36.548,12.754,49.239,17.513,30.203,23.858,34.565,14294,143.1,8.244,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:12:27,64,98,37,0,6,7393.625,1905,7000.983,97,71,71,1740,1738,0,1,0,0,53,53,49,49,58,58,60,60,52,52,57,59,55,56,54,54,50,50,53,53,59,35.345,33.805,46.121,36.884,39.963,32.266,47.66,24.569,35.345,35.345,23.03,69.212,78.448,30.727,50.739,23.03,50.739,24.569,32.266,30.727,39.039,14290,144.1,10.04,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:12:28,64,99,38,0,5,7393.625,1905,7000.983,95,71,71,1743,1737,0,1,0,0,52,52,49,49,50,50,55,55,54,55,57,57,56,56,53,53,55,55,60,60,60,49.239,49.239,49.239,41.307,46.066,34.962,46.066,33.376,42.893,41.307,22.272,73.033,66.688,14.34,52.411,33.376,50.825,31.789,50.825,42.893,43.607,14293,140.8,8.342,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:12:29,65,99,38,0,5,7393.625,1920,7000.983,100,71,71,1743,1737,0,1,0,0,54,54,48,48,51,52,52,52,52,52,62,61,51,51,61,61,52,52,51,51,61,41.502,33.805,27.648,29.187,32.266,26.108,44.581,27.648,30.727,33.805,38.424,63.054,66.133,13.793,53.818,19.951,38.424,24.569,30.727,29.187,35.268,14286,140.1,8.718,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
