2, 28-02-2021 18:39:58, GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Memory usage        ,Core clock          ,Memory clock        ,Power               ,Fan speed           ,Fan speed 2         ,Fan tachometer      ,Fan tachometer 2    ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU9 temperature    ,CPU10 temperature   ,CPU11 temperature   ,CPU12 temperature   ,CPU13 temperature   ,CPU14 temperature   ,CPU15 temperature   ,CPU16 temperature   ,CPU17 temperature   ,CPU18 temperature   ,CPU19 temperature   ,CPU20 temperature   ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU9 usage          ,CPU10 usage         ,CPU11 usage         ,CPU12 usage         ,CPU13 usage         ,CPU14 usage         ,CPU15 usage         ,CPU16 usage         ,CPU17 usage         ,CPU18 usage         ,CPU19 usage         ,CPU20 usage         ,CPU usage           ,RAM usage           ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       ,Framerate 1% Low    ,Framerate 0.1% Low  
80, 28-02-2021 18:39:58,64,97,22,0,7,7218.891,1950,7000.983,83,78,78,2066,2067,0,0,1,0,53,53,51,51,52,52,57,57,65,65,66,66,54,54,56,56,52,52,56,56,66,28.917,19.703,28.917,18.387,30.234,19.703,31.55,17.07,23.652,21.019,28.917,60.51,38.132,18.387,31.55,38.132,32.866,26.285,24.968,30.234,28.457,15757,110.7,0,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:39:59,64,97,24,0,7,7218.891,1950,7000.983,88,78,78,2065,2069,0,0,1,0,51,51,48,48,51,51,54,54,54,54,62,62,54,54,52,52,53,53,55,55,63,28.89,21.202,17.359,17.359,26.968,23.124,19.28,30.812,17.359,19.28,19.28,61.562,30.812,9.671,28.89,9.671,32.734,19.28,21.202,5.827,23.028,15765,94.9,0,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:00,62,23,4,0,6,7204.891,1950,7000.983,88,78,78,2065,2066,0,0,1,0,54,54,55,55,55,55,64,64,54,54,68,68,62,63,55,55,53,53,62,62,67,30.727,19.951,27.648,19.951,23.03,13.793,15.333,24.569,18.411,15.333,33.805,39.963,47.66,19.951,49.2,23.03,30.727,21.49,21.49,16.872,25.647,15814,39.8,776.731,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:01,64,98,23,0,7,7204.891,1950,7000.983,89,78,78,2064,2063,0,0,1,0,51,51,49,49,51,51,51,51,55,55,59,59,52,52,58,58,50,50,56,56,59,25,18.75,26.563,21.875,25,12.5,34.375,17.188,21.875,21.875,28.125,60.938,46.875,18.75,32.813,21.875,26.563,10.938,23.438,18.75,25.703,15804,98.1,23.113,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:02,65,98,22,0,4,7204.891,1950,7000.983,95,78,78,2063,2062,0,0,1,0,51,51,49,49,53,53,57,57,51,51,56,56,56,56,51,51,48,48,52,52,57,22.272,15.926,12.754,23.858,22.272,15.926,19.099,20.685,14.34,19.099,20.685,76.206,30.203,6.409,25.444,12.754,34.962,17.513,36.548,11.168,22.906,15792,90.4,13.511,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:03,65,99,20,0,4,7204.891,1950,7000.983,98,78,78,2060,2060,0,1,1,0,50,50,48,48,51,51,55,55,49,49,51,51,60,60,50,50,47,47,52,52,60,19.951,24.569,26.108,23.03,21.49,16.872,38.424,27.648,21.49,15.333,10.714,73.83,41.502,6.096,21.49,23.03,26.108,10.714,26.108,18.411,24.646,15796,84.9,14.418,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:04,66,99,21,0,4,7204.891,1950,7000.983,94,78,78,2059,2062,0,1,1,0,52,52,48,48,49,49,57,57,52,52,63,63,57,57,51,51,48,48,55,55,63,25.444,6.409,9.581,6.409,19.099,7.995,25.444,4.822,15.926,19.099,11.168,77.792,34.962,1.65,28.617,12.754,12.754,7.995,12.754,25.444,18.306,15790,79.2,14.099,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:05,66,100,19,0,3,7204.891,1950,7000.983,91,78,78,2058,2061,0,1,1,0,50,50,48,48,51,51,55,55,50,50,53,53,59,59,57,57,60,60,49,54,58,19.951,16.872,32.266,16.872,10.714,12.254,23.03,21.49,15.333,9.175,7.635,86.145,46.121,9.175,23.03,10.714,23.03,7.635,21.49,16.872,21.49,15763,78.9,14.139,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:06,66,99,18,0,3,7204.891,1950,7000.983,95,78,78,2056,2058,0,1,1,0,52,52,48,48,50,50,55,55,53,53,57,57,61,61,53,53,61,61,57,57,61,25,15.625,18.75,7.813,10.938,6.25,23.438,12.5,17.188,18.75,15.625,67.188,60.938,6.25,34.375,10.938,25,12.5,21.875,20.313,21.563,15745,78.9,13.875,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:07,66,99,17,0,3,7204.891,1950,7000.983,95,78,78,2057,2057,0,1,1,0,50,50,53,53,48,48,50,50,50,50,63,63,49,49,51,51,48,48,54,54,63,20.685,17.513,17.513,15.926,22.272,22.272,22.272,17.513,11.168,14.34,6.409,87.31,33.376,1.65,25.444,19.099,14.34,12.754,12.754,19.099,20.685,15765,77.6,14.057,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
